window,strategy,slice,tracked_rows,bets,wins,losses,pushes,pending,ats_hit_rate,roi_per_1_at_minus_110,avg_pick_prob_edge,avg_filter_score
season_to_date,raw_edge_baseline,feb15_plus,401,218,120,98,0,183,0.5505,0.0509,0.14,0.4075
season_to_date,raw_edge_baseline,march,162,80,42,38,0,82,0.525,0.0023,0.1389,0.4021
season_to_date,raw_edge_baseline,conference_tournaments,55,55,33,22,0,0,0.6,0.1455,0.1277,0.4009
season_to_date,raw_edge_baseline,ncaa_tournament,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
season_to_date,raw_only,full_live,346,187,99,88,0,159,0.5294,0.0107,0.1409,0.3682
season_to_date,raw_only,feb15_plus,340,181,98,83,0,159,0.5414,0.0337,0.1415,0.3658
season_to_date,raw_only,march,143,67,34,33,0,76,0.5075,-0.0312,0.1411,0.3723
season_to_date,raw_only,conference_tournaments,45,45,27,18,0,0,0.6,0.1455,0.1305,0.35
season_to_date,raw_only,ncaa_tournament,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
trailing_14d,ncaa_caution,full_live,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_14d,ncaa_caution,feb15_plus,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_14d,ncaa_caution,march,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_14d,ncaa_caution,conference_tournaments,0,0,0,0,0,0,,,,
trailing_14d,ncaa_caution,ncaa_tournament,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_14d,raw_edge_baseline,full_live,30,30,9,21,0,0,0.3,-0.4273,0.134,0.4999
trailing_14d,raw_edge_baseline,feb15_plus,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
trailing_14d,raw_edge_baseline,march,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
trailing_14d,raw_edge_baseline,conference_tournaments,0,0,0,0,0,0,,,,
trailing_14d,raw_edge_baseline,ncaa_tournament,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
trailing_14d,raw_only,full_live,27,27,7,20,0,0,0.2593,-0.5051,0.1296,0.4877
trailing_14d,raw_only,feb15_plus,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
trailing_14d,raw_only,march,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
trailing_14d,raw_only,conference_tournaments,0,0,0,0,0,0,,,,
trailing_14d,raw_only,ncaa_tournament,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
trailing_30d,filter_only,full_live,98,47,26,21,1,50,0.5532,0.0561,0.0159,0.6531
trailing_30d,filter_only,feb15_plus,98,47,26,21,1,50,0.5532,0.0561,0.0159,0.6531
trailing_30d,filter_only,march,81,47,26,21,1,33,0.5532,0.0561,0.0152,0.651
trailing_30d,filter_only,conference_tournaments,47,45,26,19,1,1,0.5778,0.103,0.0126,0.6389
trailing_30d,filter_only,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_30d,internal_filter,full_live,124,57,32,25,1,66,0.5614,0.0718,0.039,0.6496
trailing_30d,internal_filter,feb15_plus,124,57,32,25,1,66,0.5614,0.0718,0.039,0.6496
trailing_30d,internal_filter,march,97,57,32,25,1,39,0.5614,0.0718,0.032,0.6474
trailing_30d,internal_filter,conference_tournaments,57,55,32,23,1,1,0.5818,0.1107,0.032,0.6374
trailing_30d,internal_filter,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_30d,ncaa_caution,full_live,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_30d,ncaa_caution,feb15_plus,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_30d,ncaa_caution,march,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_30d,ncaa_caution,conference_tournaments,0,0,0,0,0,0,,,,
trailing_30d,ncaa_caution,ncaa_tournament,4,4,2,2,0,0,0.5,-0.0455,0.1383,0.6052
trailing_30d,overlap,full_live,26,10,6,4,0,16,0.6,0.1455,0.1226,0.6362
trailing_30d,overlap,feb15_plus,26,10,6,4,0,16,0.6,0.1455,0.1226,0.6362
trailing_30d,overlap,march,16,10,6,4,0,6,0.6,0.1455,0.1127,0.6294
trailing_30d,overlap,conference_tournaments,10,10,6,4,0,0,0.6,0.1455,0.1152,0.6303
trailing_30d,overlap,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_30d,raw_edge_baseline,full_live,211,86,43,43,0,125,0.5,-0.0455,0.136,0.411
trailing_30d,raw_edge_baseline,feb15_plus,205,80,42,38,0,125,0.525,0.0023,0.1368,0.4083
trailing_30d,raw_edge_baseline,march,162,80,42,38,0,82,0.525,0.0023,0.1389,0.4021
trailing_30d,raw_edge_baseline,conference_tournaments,55,55,33,22,0,0,0.6,0.1455,0.1277,0.4009
trailing_30d,raw_edge_baseline,ncaa_tournament,24,24,8,16,0,0,0.3333,-0.3636,0.1409,0.4991
trailing_30d,raw_only,full_live,182,73,35,38,0,109,0.4795,-0.0847,0.1372,0.3756
trailing_30d,raw_only,feb15_plus,176,67,34,33,0,109,0.5075,-0.0312,0.1383,0.3712
trailing_30d,raw_only,march,143,67,34,33,0,76,0.5075,-0.0312,0.1411,0.3723
trailing_30d,raw_only,conference_tournaments,45,45,27,18,0,0,0.6,0.1455,0.1305,0.35
trailing_30d,raw_only,ncaa_tournament,21,21,6,15,0,0,0.2857,-0.4545,0.1361,0.4833
